"t","y_t"
573,47064.48
574,47064.526
575,47064.604
576,47064.55
577,47064.55
578,47064.55
579,47063.846
580,47063.846
581,47063.792
582,47063.792
583,47063.858
584,47067.125
585,47064.417
586,47064.351
587,47064.351
588,47058.001
589,47058.001
590,47063.381
591,47063.315
592,47063.512
593,47062.454
594,47226.15
595,47640.105
596,47640.039
597,47640.039
598,47640.039
599,47638.501
600,47638.501
601,48128.656
602,49339.801
603,49718.13
604,49718.13
605,49718.208
606,49718.142
607,49718.146
608,49718.138
609,49717.406
610,49717.406
611,49717.34
612,49717.34
613,49717.123
614,49717.123
615,49717.213
616,49717.147
617,49717.147
618,49710.519
619,49710.303
620,49710.087
621,49709.817
622,49709.817
623,49709.817
624,49709.829
625,50286.527
626,50286.473
627,50286.431
628,50286.497
629,50286.455
630,50286.521
631,50286.455
632,50286.455
633,50285.406
634,50285.406
635,50285.484
636,50285.418
637,50285.418
638,50285.528
639,50285.732
640,50287.383
641,50287.317
642,50287.317
643,50287.317
644,50288.217
645,50293.675
646,50293.609
647,50293.609
648,50293.671
649,51073.801
650,52202.154
651,52202.088
652,52202.1
653,52202.1
654,52387.259
655,52778.341
656,52778.275
657,52778.091
658,52778.508
659,52778.419
660,52778.389
661,52778.377
662,52778.377
663,52778.377
664,52778.377
665,52778.455
666,52778.401
667,52778.401
668,52778.401
669,52777.368
670,52776.636
671,52776.582
672,52776.582
673,52775.522
674,52775.574
675,52775.664
676,52775.598
677,52775.598
678,52775.648
679,52775.73
680,52778.312
681,52778.246
682,52778.246
683,52778.148
684,53218.664
685,53318.422
686,53318.356
687,53318.356
688,53318.131
689,53318.131
690,53318.173
691,53318.199
692,53809.339
693,55001.793
694,55317.576
695,55311.189
696,55311.169
697,55311.181
698,55311.181
699,55311.271
700,55315.965
701,55315.899
702,55315.899
703,55315.899
704,55315.899
705,55315.989
706,55315.923
707,55315.923
708,55315.983
709,55315.983
710,55315.983
711,55315.929
712,55315.929
713,55314.872
714,55314.884
715,55848.778
716,55848.724
717,55848.724
718,55842.254
719,55842.254
720,55844.853
721,55844.787
722,55844.787
723,55844.787
724,55844.799
725,55844.877
726,55844.811
727,55844.811
728,55843.761
729,56338.15
730,57538.762
731,57967.326
732,57967.326
733,57967.294
734,57967.294
735,57967.372
736,57967.306
737,57967.306
738,57967.184
739,57966.98
740,57966.764
741,57966.482
742,57966.494
743,57965.912
744,58458.965
745,58495.283
746,58496.117
747,58496.117
748,58495.964
749,58495.964
750,58495.976
751,58495.91
752,58495.91
753,58495.29
754,58495.29
755,58500.748
756,58501.138
757,58501.711
758,58501.711
759,58501.723
760,58503.882
761,58487.684
762,58487.696
763,58487.762
764,58487.762
765,58487.852
766,58487.786
767,58487.786
768,58487.896
769,58488.248
770,58488.248
771,58488.24
772,58488.24
773,58487.659
774,58487.659
775,59012.44
776,59012.374
777,59012.374
778,59012.374
779,59012.337
780,59012.395
781,59012.329
782,59012.329
783,59012.387
784,59012.399
785,59012.477
786,59012.411
787,59012.411
788,59012.407
789,59012.407
790,59011.675
791,59011.609
792,60108.821
793,61106.852
794,61106.844
795,61106.922
796,61106.856
797,61106.856
798,61106.936
799,61107.018
800,61109.662
801,61109.608
802,61109.608
803,61109.468
804,61109.468
805,61643.841
806,61643.775
807,61643.775
808,61643.799
809,61643.841
810,61649.295
811,61649.241
812,61649.241
813,61648.658
814,61648.658
815,61648.736
816,61648.712
817,61648.712
818,61648.804
819,61648.94
820,61648.208
821,61648.054
822,61648.054
823,61648.1
824,61648.146
825,61648.224
826,61648.204
827,61648.204
828,61648.285
829,61641.766
830,61641.832
831,61641.766
832,61641.766
833,61641.568
834,61641.568
835,62169.428
836,62169.362
837,62169.362
838,62169.374
839,62172.753
840,62173
841,62171.149
842,62171.203
843,62171.019
844,62171.019
845,62171.135
846,62171.069
847,62171.069
848,62171.953
849,62171.953
850,62171.233
851,62170.689
852,62169.24
853,62169.252
854,62169.276
855,62169.378
856,62169.312
857,62169.533
858,62169.363
859,62169.081
860,62168.865
861,62168.583
862,62168.583
863,62168.583
864,62168.583
865,62712.946
866,62712.88
867,62712.88
868,62712.726
869,62712.726
870,62712.726
871,62712.66
872,62712.66
873,62712.15
874,62712.15
875,62712.228
876,62690.398
877,62690.398
878,62690.398
879,62690.398
880,62691.073
881,62693.546
882,62693.546
883,62692.964
884,62692.964
885,62693.042
886,62692.976
887,62692.976
888,62693.077
889,62693.077
890,62686.612
891,62686.546
892,62687.286
893,63338.432
894,64549.514
895,65284.839
896,65284.785
897,65284.785
898,65278.763
899,65278.559
900,65278.559
901,65278.493
902,65278.493
903,65278.493
904,65278.493
905,65278.571
906,65278.505
907,65278.497
908,65278.85
909,65278.85
910,65277.076
911,65277.01
912,65277.01
913,65276.468
914,65276.46
915,65276.538
916,65276.472
917,65276.472
918,65276.592
919,65281.972
920,65281.972
921,65280.345
922,65273.88
923,65273.29
924,65273.29
925,65800.038
926,65799.874
927,65799.874
928,65799.72
929,65799.72
930,65799.72
931,65799.654
932,65799.654
933,65799.666
934,65799.666
935,65799.744
936,65799.678
937,65799.678
938,65799.67
939,65799.76
940,65798.872
941,65797.959
942,65798.001
943,65798.113
944,65798.113
945,65798.283
946,65798.217
947,65801.272
948,65801.46
949,65801.46
950,65802.36
951,65802.294
952,65802.34
953,65801.281
954,65955.385
955,66341.678
956,66341.612
957,66341.428
958,66341.833
959,66341.833
960,66341.833
961,66344.349
962,66344.349
963,66344.349
964,66344.349
965,66344.427
966,66344.361
967,66344.361
968,66344.353
969,66346.602
970,66346.47
971,66345.606
972,66345.606
973,66345.386
974,66350.766
975,66350.844
976,66350.712
977,66350.712
978,66350.576
979,66343.895
980,66343.679
981,66343.331
982,66343.331
983,66342.746
984,66526.144
985,66870.161
986,66870.107
987,66870.041
988,66870.107
989,66870.107
990,66870.107
991,66870.041
992,66869.975
993,66869.463
994,66869.463
995,67971.278
996,68988.863
997,68988.863
998,68988.797
999,68988.797
1000,68988.797
